Name,City,State,Postal Code,Latitude,Longitude,Floorsize,Url,Price,Home Type,Perks,Listing Overview,Bedrooms,Bathrooms,User Views,User Saves,Days on Website,First Floor Dimensions,Flooring,Heating features,Cooling features,Appliances included,Interior features,Parking features,Number of Stories,Lot Size (sqft),Parcel Number,Architectural Style,Home Types,Year built,Sewer Information,Security features,Sub Division,Buyer Agency Compensation,Second Floor Dimensions,Total Parking Spaces,Garage Parking Spaces,Covered Parking Spaces,Community features,Carport Parking Spaces,Basement Dimensions,Third Floor Dimensions,Laundry features,Additional Structures,HOA Status,HOA Fee (monthly),Window Features,Interior Features,Indoor air quality,Water conservation,Construction elements,Lot features
12411 Montego Plz,Dallas,TX,75230,32.918704999999996,-96.81368,2099,https://www.zillow.com/homedetails/12411-Montego-Plz-Dallas-TX-75230/26829137_zpid/,499000,Townhouse,Painted cabinetsPet stationsHuge communal greenbeltFresh paintNew wood flooring throughoutUpdated lightingModern shower,"Newly renovated townhome in a prime corner location within the coveted Preston Square community! Spacious primary bathroom is a showstopper with a modern shower and tile flooring. Other updates: New roof and gutters, kitchen renovated with all SS appliances, tile backsplash & painted
cabinets, updated lighting, ALL windows replaced, fresh paint & new wood flooring throughout, & turfed back patio. This is the ultimate lock & leave setup - Community features tennis courts, community pool, clubhouse, pet stations, huge communal greenbelt, and more! Country club type living
with super low HOAs! Central location for all private schools and easy access to the tollway and 635! Truly a hidden urban oasis!Chevron DownShow more",2,3,599,40,5 ,,"Brick, Tile, Wood",Natural Gas,Electric,"Dishwasher, Electric Oven, Electric Range, Microwave","Eat-in Kitchen, High Speed Internet, Cable TV, Vaulted Ceiling(s), Walk-In Closet(s)",,2,3179 ,00000661749300000, TraditionalProperty ,Townhouse,1981," Electricity Connected, Natural Gas Available, Sewer Available, Separate Meters, Water Available, Cable Available",Smoke Detector(s),Preston Square Townhomes,3%,,2,2,2,"Clubhouse, Fenced Yard, Pool, Tennis Court(s), Trails/Paths, Curbs, Sidewalks",,,,,,Yes,240.0,,,,,,
5218 Columbia Ave,Dallas,TX,75214,32.798004,-96.75962,4454,https://www.zillow.com/homedetails/5218-Columbia-Ave-Dallas-TX-75214/2114226006_zpid/,700000,Multi-family home,White rock lakeLandscaped yardParking lotCentral heatingWasher-dryer hookup,"Gorgeous four-plex located near Lakewood in East Dallas, just two blocks north of the Santa Fe
trail connecting White Rock Lake and Downtown. If you’re aware of the most desirable middle
and high schools in the district, you’ll notice that this property is in the feeder pattern for both
Woodrow Wilson HS and JL Long MS. The property has four 2-bedroom, 1-bathroom units, each
with its own separate electric and water meter, washer-dryer hookup, and central heating and
air conditioning. The sale is contingent upon the sale of the four-unit property at 5222
Columbia, with which it shares a parking lot with an electric fence and a landscaped yard.Chevron DownShow more",8,-,1333,86,97 ,,Wood,Central,"Central Air, Gas","Some Gas Appliances, Dryer, Dishwasher, Gas Range, Plumbed For Gas, Refrigerator",Other,,2,8772 ,00000152803000000,,,1916," Electricity Available, Electricity Connected, Natural Gas Available, Sewer Available, Separate Meters, Water Available",,Freemans Columbia Ave,3%,,4,,,"Curbs, Sidewalks",,,,,,,,,,,,,
5929 Westgrove Dr,Dallas,TX,75248,32.97413,-96.80720500000001,5316,https://www.zillow.com/homedetails/5929-Westgrove-Dr-Dallas-TX-75248/26876708_zpid/,2999000,House,Sprawling ranch style homeGorgeous backyardBeamed ceilingUpdated kitchenPeg hardwood floorsSaltwater pebble tec poolFloor to ceiling windows,"Sprawling ranch style home in Preston Trails on 1.1 acre lot. Gorgeous backyard has a saltwater pebble tec pool with amazing waterfall outdoor kitchen-Gazebo. Entertainment style open concept in the main living with peg hardwood floors, beamed ceiling, built-ins and floor to ceiling windows. Updated kitchen boasts travertine floors, skylight, SS appliances. Sunroom off the the oversized master with decorative moulding. Mechanics dream garage.Chevron DownShow more",5,5,1771,54,82 , 19 x 14,,Natural Gas,"Central Air, Ceiling Fan(s), Electric","Built-In Refrigerator, Dishwasher, Disposal, Gas Oven, Microwave, Range, Refrigerator, Some Commercial Grade, Vented Exhaust Fan",,,1,47044,00000799801000000, DetachedProperty ,SingleFamily,1973," Sewer Available, Water Available, Cable Available","Security System, Fire Alarm",Preston Trls Sec 01,3%,,4,3,4,,1,,," Washer Hookup, Electric Dryer Hookup, Gas Dryer Hookup, Laundry in Utility Room",,Yes,433.0,"Bay Window(s), Plantation Shutters"," Wet Bar, Built-in Features, Chandelier, Decorative/Designer Lighting Fixtures, Eat-in Kitchen, Granite Counters, High Speed Internet, Kitchen Island, Cable TV, Vaulted Ceiling(s), Walk-In Closet(s), Wired for Sound",,,,
2103 Yucatan Plz,Dallas,TX,75211,32.71782,-96.901924,1411,https://www.zillow.com/homedetails/2103-Yucatan-Plz-Dallas-TX-75211/26912456_zpid/,272000,House,Dining areasGreat livingHalf bathWalk in closetsSeparate laundry upstairsStorage closet,"WOW~ Move In Ready! For 1st time home buyer or downsizer or investor! This cozy community is adorable ~ Designer Colors! Downstairs boasts of great living & dining areas, half bath, storage closet under stairs, and kitchen with stainless appliances including Refrigerator! 3 bedrooms, walk in closets with separate laundry upstairs, & 2 full baths up. Clean & Move in Ready! Priced to sell before the holidays so you can have your new homestead exemptions for 2024!Chevron DownShow more",3,3,765,46,83 , 13 x 12,"Carpet, Luxury Vinyl Plank","Central, Electric","Central Air, Ceiling Fan(s), Electric","Dishwasher, Electric Range, Disposal, Microwave, Refrigerator, Vented Exhaust Fan",,,2,2134 ,00801300030440000," Traditional , DetachedProperty ",SingleFamily,2001," Sewer Available, Water Available",Smoke Detector(s),Los Encinos,2.5%,,2,2,2,"Playground, Park, Community Mailbox",,,," Washer Hookup, Electric Dryer Hookup, Laundry in Utility Room",,Yes,18.0,Window Coverings," Eat-in Kitchen, High Speed Internet, Pantry",,,,
3677 Rockdale Dr,Dallas,TX,75220,32.87702,-96.85669,1623,https://www.zillow.com/homedetails/3677-Rockdale-Dr-Dallas-TX-75220/26787451_zpid/,399000,House,Modern finishesSpacious backyardFront porchBonus spacePrimary suiteWet areasFresh paint,"HUGE PRICE CUT! BRING US AN OFFER on this remodeled home close to ALL the things in Dallas. Adjacent to major up and coming neighborhoods with million dollar new construction just across Marsh Lane. Old house charm updated for peace of mind. Newer roof (2022), new water heater, and improvements inside and out. Darling curb appeal with raised brick planter and front porch leads into a bright, inviting interior. Wood-look flooring flows in all spaces apart from wet areas for a consistent look; fresh paint, trim, hardware, lighting and fixtures are upgraded throughout. Flexible floor plan with open-concept living-dining-kitchen plus a bonus space on the back of the kitchen: a 4th bedroom, study, 2nd living area, or a giant mud space. You make the call. Full bath attached! Other beds and baths, including the hall bath and primary suite, are in the other hallway. Contemporary, modern finishes in kitchen and bathrooms. Spacious backyard featuring a big storage building.Chevron DownShow more",4,3,1501,81,136 , 11 x 11,"Laminate, Tile, Vinyl","Central, Natural Gas","Central Air, Ceiling Fan(s), Electric","Dishwasher, Electric Oven, Microwave",,"Driveway, No Garage, On Street",1,7405 ,00000521410000000," Traditional , DetachedProperty ",SingleFamily,1953," Sewer Available, Water Available",Smoke Detector(s),Brownwood Park,3%,,,,,"Curbs, Sidewalks",,,, Laundry in Utility Room,,,,Window Coverings, Decorative/Designer Lighting Fixtures,,,,
1706 Jerome St,Dallas,TX,75223,32.787409999999994,-96.745384,1426,https://www.zillow.com/homedetails/1706-Jerome-St-Dallas-TX-75223/26685821_zpid/,275000,House,Spacious backyardOversized kitchenNew electrical wiringPrivate bath,"Welcome to this meticulously remodeled home featuring an additional +400 sq ft of modern elegance. Prime spot to downtown  Dallas ensuring quick commute to work and city lifestyle. You will love the spacious living room for the entire family and oversized kitchen. Home now features four bedrooms and two full baths. Retreat to your private bedroom with private bath and walk in closet. The spacious backyard provides endless possibilities for outdoor activities and relaxation. House was completely redone from top to bottom including but not limited to foundation, roof, all new electrical wiring, plumbing, sheetrock, insulation, walls, flooring, texture, paint, brick, fixtures, faucets, and much more. Don't miss out and contact me for a private tour.Chevron DownShow more",4,2,623,37,18 , 17 x 14,,Electric,"Central Air, Ceiling Fan(s), Electric","Dishwasher, Electric Cooktop, Electric Water Heater, Disposal",Other,Driveway,1,7187 ,00000167881000000, DetachedProperty ,SingleFamily,1926," Electricity Available, Electricity Connected, Sewer Available, Separate Meters, Water Available",,Park View Place,3.00%,,,,,,,,,,,,,,,,,,
2801 Turtle Creek Blvd Apt 2e,Dallas,TX,75219,32.803635,-96.80699,4529,https://www.zillow.com/homedetails/2801-Turtle-Creek-Blvd-APT-2E-Dallas-TX-75219/26928791_zpid/,5500000,Condo,Cove ceilingsPrivate terraceMotorized shades,"Rare opportunity awaits at the Mansion Residence, one of Dallas’ most exclusive high-rises. Unit 2E is expansive at 4,200+ SF and an architectural tour de force. The residence tells a story of exclusivity, and is truly a unique and coveted home.

Renovated in 2022 under the guidance of Schutts Magee & Riddle Architects and renowned designer Jan Showers, every detail exudes elegance. Including high, cove ceilings, Bulthaup kitchen, heated marble floors, and motorized shades.

The private terrace is exceptionally large by high-rise standards, and larger than most other units in the building. Reminiscent of a secluded, tranquil San Miquel courtyard, it’s perfect for entertaining, relaxing, and even yoga.

With 24-7 room service, concierge, and valet, and only 24 residences in total, exclusivity is at its peak at the Mansion Residences. Square footage includes terraceChevron DownShow more",3,4,1123,52,10 , 15 x 14,,,,"Built-In Refrigerator, Dryer, Dishwasher, Electric Oven, Gas Cooktop, Disposal, Microwave, Refrigerator, Wine Cooler","Wet Bar, Built-in Features, Cedar Closet(s), Chandelier, Decorative/Designer Lighting Fixtures, Double Vanity, Eat-in Kitchen, High Speed Internet, Kitchen Island, Pantry, Cable TV, Walk-In Closet(s), Wired for Sound",,1,34848,00C45200000002E00, OtherProperty ,Condo,1992," Electricity Available, Sewer Available, Water Available, Cable Available","Security Guard, Gated with Guard",Mansion Residence,3%,,4,2,2,"Elevator, Fitness Center, Pool, Restaurant",2,,, Laundry in Utility Room,,Yes,6371.0,,,,,,
7908 Silverdale Dr,Dallas,TX,75232,32.65188,-96.83377,1292,https://www.zillow.com/homedetails/7908-Silverdale-Dr-Dallas-TX-75232/26853732_zpid/,249000,House,Modern feelStainless steel appliancesNew kitchen,"Welcome to this gorgeous, beautifully remodeled, move-in-ready 3 bedroom, 2 bathroom home.The inside has a modern feel with a new kitchen featuring stainless steel appliances, quartz countertops. New flooring and light fixtures throughout, while the two renovated full baths offer a touch of luxury. Almost everything is brand new, venture outside to discover a generous and inviting backyard, perfect for entertaining, gardening, or simply enjoying the outdoors.Don't wait schedule a showing soon because this home won't be available for long!Chevron DownShow more",3,2,2081,214,48 ,,,,,"Dishwasher, Gas Cooktop, Refrigerator","Granite Counters, Kitchen Island",,1,0.21 ,00000746368000000, DetachedProperty ,SingleFamily,1961," Sewer Available, Water Available",,Polk Terrace 14,3%,,1,,1,,1,,,,,,,,,,,,
11211 Strait Ln,Dallas,TX,75229,32.901234,-96.824936,3425,https://www.zillow.com/homedetails/11211-Strait-Ln-Dallas-TX-75229/26905992_zpid/,1999900,House,Gorgeous lotSpec home,"This one acre property on Strait Lane has great potential! There is a big upside for a builder to build a spec home, a gorgeous lot and spectacular location for someone to build their dream home or an over 3000 sqft existing home if someone wants to live in the original home.  Opportunities to own a piece of Strait Lane are becoming more rare, so act now.  The original house was built by The Finnegan Family in 1953 - imagine what Strait Lane looked like then!  More importantly, imagine what it could be!Chevron DownShow more",4,3,1698,54,11 , 26 x 14,"Brick, Tile, Wood","Central, Natural Gas","Central Air, Electric","Dishwasher, Electric Cooktop, Electric Oven, Disposal, Gas Water Heater","Granite Counters, High Speed Internet, Pantry, Paneling/Wainscoting, Cable TV, Natural Woodwork, Walk-In Closet(s)",,1,44431,00639100010030000," Ranch , DetachedProperty ",SingleFamily,1953," Sewer Available, Water Available, Cable Available","Security System, Smoke Detector(s)",Northaven Estates Add 2,3%,,2,,2,,2,,,,,,,,,,,,
2715 Carpenter Ave,Dallas,TX,75215,32.75739,-96.7566,1562,https://www.zillow.com/homedetails/2715-Carpenter-Ave-Dallas-TX-75215/26687234_zpid/,320000,House,Open floor planSpacious backyardStainless still appliancesMaster bathroomGranite counter topsWalk in closetLarge covered patio,"Beautiful 3 bed 2 bath 2 car garage home with open floor plan! Walking into this home you will find , Granite Counter tops with a nice backsplash, stainless still appliances that also includes a stainless steel fridge , tile flooring throughout home ,carpet in the bedrooms, spacious Living room and a spacious backyard great for entertaining.  The master bathroom has a double vanity with a walk in closet , tub and shower. The Large covered patio and a wood  fence make this beautiful property great for entertaining!  This home also comes with a 1-2-10 warranty. See You There!!


SELLER WILL GIVE $10,000.00 towards  CLOSING COST with full price offer.Chevron DownShow more",3,2,972,127,15 , 0 x 0,"Carpet, Ceramic Tile",Electric,Electric,"Electric Range, Electric Water Heater, Disposal, Microwave, Refrigerator","Decorative/Designer Lighting Fixtures, Double Vanity, High Speed Internet, Open Floorplan, Pantry, Cable TV, Walk-In Closet(s)",,1,7710 ,00000173686000000, DetachedProperty ,SingleFamily,2023," Electricity Connected, Sewer Available, Water Available, Cable Available",Fire Alarm,F J Tholl S,3%,,2,2,2,,,,," Electric Dryer Hookup, Laundry in Utility Room",,,,,,,,,
